"Duration","Success","Output","OutputCount","OutputSource","OutputSourceCount","Error","ErrorCount","OutputTruncated","Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"00:00:02.1948593","True",,,,,,,"False","142"," docker rm --force $(docker ps -a -q) # FORCE REMOVE ALL CONTAINERS","Completed","2024-04-16 16:39:00","2024-04-16 16:39:02"
"00:00:00.0969687","True",,,,,,,"False","143","cls","Completed","2024-04-16 18:31:36","2024-04-16 18:31:36"
"00:00:00.0698955","True",,,,,,,"False","144","cls","Completed","2024-04-16 18:37:45","2024-04-16 18:37:45"
"00:00:00.1053074","True",,,,,,,"False","145","ii .","Completed","2024-04-16 18:37:55","2024-04-16 18:37:55"
"00:00:00.0629671","True",,,,,,,"False","146","cls","Completed","2024-04-16 18:43:34","2024-04-16 18:43:34"
"00:00:00.1240492","False","System.Management.Automation.PSObject[]","1","System.Management.Automation.Language.IScriptExtent[]","1","System.Management.Automation.PSObject[]","1","False","147",". .\Create-Containers.ps1 -numContainers 4","Completed","2024-04-16 18:48:50","2024-04-16 18:48:50"
"00:00:00.1875917","False","System.Management.Automation.PSObject[]","1","System.Management.Automation.Language.IScriptExtent[]","1","System.Management.Automation.PSObject[]","1","False","148","Stop-Transcript","Completed","2024-04-16 18:49:18","2024-04-16 18:49:18"
"00:00:00.0329834","True","System.Management.Automation.PSObject[]","1","System.Management.Automation.Language.IScriptExtent[]","1",,,"False","149","$TranscriptDescription = 'Parallel DBA Tasks from the Command Line Using PowerShell'
$TranscriptPath =""$env:USERPROFILE\OneDrive\##Presentations\2024\Parallel DBA Tasks from the Command Line Using PowerShell\""+ ([string](Get-Date -format ""yyyy-MM-dd__HH-mm-ss"") + ""_"" + ""nanoDBA"" + ""_"" + $TranscriptDescription + "".txt"")
Start-Transcript $TranscriptPath","Completed","2024-04-16 18:49:36","2024-04-16 18:49:36"
"00:00:05.9490804","True",,,,,,,"False","150",". '.\#00 Create-Containers.ps1' -numContainers 4","Completed","2024-04-16 18:49:47","2024-04-16 18:49:52"
"00:00:04.3025796","True","System.Management.Automation.PSObject[]","2","System.Management.Automation.Language.IScriptExtent[]","2",,,"False","151","<# #0 object creation RSJob vs PSJobs 
https://learn-powershell.net/2015/03/31/introducing-poshrsjob-as-an-alternative-to-powershell-jobs/  
#>
Write-Verbose ""Begin RSJobs Test"" -Verbose
$Test = 42
(Measure-Command {
    $results = 1..5|Start-RSJob -Name {""TEST_$($_)""} -ScriptBlock {
        Param($Object)
        $DebugPreference = 'Continue'
        $PSBoundParameters.GetEnumerator() | ForEach {
            Write-Debug $_
        }
        Write-Verbose ""Creating object"" -Verbose
        New-Object PSObject -Property @{
            Object=$Object
            Test=$Using:Test
        }
    }
}).TotalSeconds
Write-Verbose ""End RSJobs Test"" -Verbose
# Get-RSJob | Receive-RSJob

Write-Verbose ""Begin PSJobs Test"" -Verbose
$Test = 42
(Measure-Command {
    1..5 | ForEach {
        Start-Job -Name ""TEST_$($_)"" -ScriptBlock {
            Param($Object)
            $DebugPreference = 'Continue'
            $PSBoundParameters.GetEnumerator() | ForEach {
                Write-Debug $_ # display the key-value pairs of the hashtable in the debug stream by using Write-Debug - example: DEBUG: Key = Object, Value = 1
            }
            Write-Verbose ""Creating object"" -Verbose
            New-Object PSObject -Property @{
                Object = $Object
                Test   = $Using:Test
            }
        } -ArgumentList $_
    }
}).TotalSeconds
Write-Verbose ""End PSJobs Test"" -Verbose
# Get-Job | Receive-Job

","Completed","2024-04-16 18:54:12","2024-04-16 18:54:16"
